timestamp,ticker,signal,return,success
2022-04-13,DFIN,BUY,0.0121430915654742,1
2022-04-14,DFIN,BUY,-0.0221295702373316,0
2022-04-18,DFIN,BUY,-0.0019900497512437,0
2022-04-19,DFIN,BUY,0.0293729372937293,1
2022-04-20,DFIN,BUY,0.0107628996517885,1
2022-04-21,DFIN,BUY,-0.0594761171032358,0
2022-04-22,DFIN,BUY,-0.020495867768595,0
2022-04-25,DFIN,BUY,0.0249231819733697,1
2022-04-26,DFIN,SELL,0.0300675675675675,1
2022-04-27,DFIN,BUY,-0.0048459674627899,0
2022-04-28,DFIN,BUY,0.0327980867782713,1
2022-04-29,DFIN,BUY,-0.0187730472678511,0
2022-05-02,DFIN,BUY,0.0255362614913176,1
2022-05-03,DFIN,BUY,0.0199800199800199,1
2022-05-04,DFIN,BUY,-0.002906976744186,0
2022-05-05,DFIN,BUY,-0.0805481283422459,0
2022-05-06,DFIN,BUY,-0.0425145348837208,0
2022-05-09,DFIN,BUY,0.0007818608287726,1
2022-05-10,DFIN,SELL,-0.0463320463320464,0
2022-05-11,DFIN,BUY,-0.0397031539888682,0
2022-05-12,DFIN,BUY,0.0809248554913295,1
2022-05-13,DFIN,BUY,0.0254147546770209,1
2022-05-16,DFIN,BUY,-0.0087473757872638,0
2022-05-17,DFIN,BUY,0.0107266435986159,1
2022-05-18,DFIN,BUY,-0.0146801817546311,0
2022-05-19,DFIN,BUY,0.0250896057347671,1
2022-05-20,DFIN,BUY,0.0148737461086129,1
2022-05-23,DFIN,BUY,-0.0053763440860215,0
2022-05-24,DFIN,BUY,0.0120399036807706,1
2022-05-25,DFIN,BUY,0.0387783115991763,1
2022-05-26,DFIN,BUY,0.0155371900826445,1
2022-05-27,DFIN,BUY,0.0334090171910477,1
2022-05-31,DFIN,BUY,-0.0101813553929366,0
2022-06-01,DFIN,BUY,-0.0022808732486151,0
2022-06-02,DFIN,BUY,0.0304996755353666,1
2022-06-03,DFIN,BUY,-0.0067329272202629,0
2022-06-06,DFIN,BUY,-0.0098946696457069,0
2022-06-07,DFIN,BUY,0.0263843648208469,1
2022-06-08,DFIN,BUY,-0.0064184852374839,0
2022-06-09,DFIN,BUY,-0.0247395833333332,0
2022-06-10,DFIN,BUY,0.0064384954252794,1
2022-06-13,DFIN,BUY,-0.0394553072625697,0
2022-06-14,DFIN,BUY,0.0191751085383502,1
